tg,fa
Александр Кокорин,الکساندر کوکورین
Александр Литвиненко,آلکساندر لیتوینینکو
Александр Лукашенко,الکساندر لوکاشنکو
Александр Маслов,الکساندر ماسلوف
Александр Милйеранд,آلکساندر میلران
Александр Мостовои,الکساندر مستووی
Александр Невский,الکساندر نوسکی
Александр Пато,الکساندر پاتو
Александр Пихур,الکساندر پیخور
Александр Поветкин,الکساندر پوتکین
Александр Пуштов,الکساندر پوشتوف
Александр Рязантсев,الکساندر ریازانتسف
Александрас Стулгинскис,الکساندراس استولگینسکیس
Александр Филимонов,الکساندر فیلیمنوو
Александр Шпаковски,الکساندر شپاکوفسکی
Александр фон Ҳумболдт,الکساندر فون هومبولت
Александр Ҳертсен,آلکساندر هرتسن
Александрит,آلکساندریت
Павел Александров,پاول الکساندروف
Алексей Анатолевич Козлов,الکسی آناتولیویچ کوزلوف
Алексей Березутски,الکسی برزوتسکی
Алексей Дикий,الکسی دیکی
Алексей Еременко,آلکسی ارمنکو
Максим Горкий,ماکسیم گورکی
Алексей Навалний,آلکسی ناوالنی
Алексей Писемский,آلکسی پیسیمسکی
Алексей Прудников,الکسی پرودنیکوف
Алексей Смертин,الکسی اسمرتین
Алексис Данелон,الکسیس دانلون
Алексис Мессидоро,الکسیس مسیدورو
Алексис Норамбуэна,الکسیس نورامبوئنا
Алексис Ролин,الکسیس رولین
Алексис Сото,الکسیس سوتو
Алексия Путеяс,الکسیا پوتیاس
Ален Бадю,آلن بدیو
Алесcандро Камбалюта,آلساندرو کامبالوتا
Алесcандро Мори Нунес,آلساندرو موری نونس
Алесcандро Нунес,آلساندرو نونس
Алесcандро Сантос,السساندرو سانتوس
Алесcандро Силва Перейра,آلساندرو سیلوا پریرا
Алессандро Баузани,الساندرو بوزانی
Алехандро Акоста,آلخاندرو آکوستا
Алехандро Алфаро,الخاندرو الفارو
Алехандро Аррибас,الخاندرو اریباس
Алехандро Барбаро,آلخاندرو باربارو
Алехандро Гаваторта,الخاندرو گاواتورتا
Алехандро Гаглярди,الخاندرو گاگلیاردی
Алехандро Де Ла Круз Бентос,الخاندرو د لا کروز بنتوس
Алехандро Делорте,الخاندرو دلورته
Алехандро Донатти,الخاندرو دوناتی
Алехандро Замбрано,الخاندرو زامبرانو
Алехандро Замора,الخاندرو زامورا
Алехандро Кампано,الخاندرو کامپانو
Алехандро Капурро,الخاندرو کاپورو
Алехандро Кениг,الخاندرو کنیگ
Алехандро Курбело,آلخاندرو کوربلو
Алехандро Ланари,الخاندرو لاناری
Алехандро Лимия,الخاندرو لیمیا
Алехандро Манкусо,آلخاندرو مانکوسو
Алехандро Маранйон,الخاندرو مارانیون
Алехандро Оберг,آلخاندرو اوبرگ
Алехандро Реболо,الخاندرو ریبولو
Алехандро Фаурлин,آلخاندرو فاورلین
Алешд,الشد
Алештар,الشتر
Алзамай,آلزامای
Алӣ ибни Абутолиб,علی بن ابی‌طالب
Али Ҷон Утуш,علی جان اوتوش
Алиакбар Деҳхудо,علی‌اکبر دهخدا
Алиасғари Шеърдӯст,علی‌اصغر شعردوست
Алии Шариатӣ,علی شریعتی
Алӣ ибни Мӯсо Алризо,علی بن موسی الرضا
Алина Боз,آلینا بز
Алиободи Демеқ,علی‌آباد دمق
Алиободи Пуштишаҳр,علی‌آباد پشتشهر
Алиризо Бейронванд,علیرضا بیرانوند
Алиризо Қурбонӣ,علیرضا قربانی
Алиризои Шопӯри Шаҳбозӣ,علیرضا شاپور شهبازی
Алиф,الف
Алифбои англисӣ,الفبای انگلیسی
Алифбои арабӣ,الفبای عربی
Алифбои арманӣ,الفبای ارمنی
Алифбои ветнамӣ,الفبای ویتنامی
Алифбои қибтӣ,الفبای قبطی
Алифбои курдӣ,الفبای کردی
Хати лотинӣ,خط لاتین
Алифбои форсӣ,الفبای فارسی
Алифбои русӣ,الفبای روسی
Алифбои сурёнӣ,الفبای سریانی
Алифбои тоҷикӣ,الفبای تاجیکی
Алифбои фаронсавӣ,الفبای فرانسوی
Алифбои юнонӣ,الفبای یونانی
Аличур,الیچور
Алишаҳр,عالی‌شهر
Алишер Навоӣ,علی‌شیر نوایی
Алла,لالایی
Аллоҳ,الله
Алма-матер,آلما ماتر
Олматӣ,آلماتی
Педро Алмадовар,پدرو آلمودوار
Алмандин,الماندین
Алмейда Ҷуниор,آلمیدا جونیور
Алмос,الماس
Алоисио Дус Сантос Гонсалвес,آلوئیسیو دوس سانتوس گونسالوس
Алошаҳр,آلاشهر
Иртибот,ارتباط
Алп Наврӯз,آلپ نوروز
Алпарслон,آلپ ارسلان
Алптегин,آلپ‌تگین
Алсиндо,آلسیندو
Алтичиеро,آلتیچیرو
Алтон Ҷалоб,التان جلاب
Алунит,آلونیت
Алупка,آلوپکا
Алфи Конте Лакале,آلفی کونته-لاکال
Алфред Гилман,آلفرد جی. گیلمان
Алфред Нобел,آلفرد نوبل
Алфредо Андерсон,آلفرد اندرسون
Алфредо Берти,آلفردو برتی
Алфредо Брилянте Да Коста,آلفردو بریلانته دا کاستا
Алфредо Гарасини,آلفردو گاراسینی
Алфредо Ди Стефано,آلفردو دی استفانو
Алфредо Морелос,آلفردو مورلس
Алфредо Морено,آلفردو مورنو
Алфредо Ортунйо,الفردو اورتونیو
Алфредо Паласио,آلفردو پالاسیو
Алфредо Рамуа,آلفردو راموآ
Алфредо Рафаэл Соса,آلفردو رافائل سوسا
Алфредо Сантаэлена,آلفردو سانتاالنا
Алфредо Фоглино,آلفردو فوگلینو
Алфредо Эспига,الفردو اسپیگا
Алфреду Овонду Кондио,آلفردو اواندو کاندیا
Алҷазоир,الجزایر
Алюминит,آلومینیت
Аляска,آلاسکا
Алҳойӣ,الهایی
Алҷабр-ва-л-муқобала,الجبر والمقابله
Алӣ Ариз,علی عریض
Алӣ Зафар,علی ظفر
Алӣ Зейдан,علی زیدان
Алӣ Майсам Назарӣ,علی میثم نظری
Алӣ Тарҳунӣ,علی ترهونی
Алӣ Фазал,علی فضل
Алӣ ибни Абдуллоҳ Оли Сонӣ,علی بن عبدالله آل ثانی
Алӣ Ҷавон,علی جوان
Амадео Гаспарини,آمادئو گاسپارینی
Амадео Ортега,آمادئو اورتگا
Амадо Гевара,آمادو گوارا
Амазонит,آمازونیت
Амала Пол,امالا پال
Амалиёти низомӣ,عملیات نظامی
Аманда Пит,آماندا پیت
Амансио Амаро,آمانسیو آمارو
Амапа,آماپا
Амаури,آمائوری
Амбарон,امبران
Дармонгоҳ,درمانگاه
Охнотун,آخناتون
Амрикои Лотинӣ,آمریکای لاتین
Амрикои Марказӣ,آمریکای مرکزی
Амрикои Шимолӣ,آمریکای شمالی
Амрикои Ҷанубӣ,آمریکای جنوبی
Америко Тесориэре,آمریکو تسوریر
Аметист,آمیتیست
Амигдалин,آمیگدالین
Амилоидоз,آمیلوئیدوز
Амин Ҷамил,امین جمیل
Аминторе Фанфанӣ,آمینتوره فانفانی
Амир Абраши,امیر ابرشی
Ҳушанги Ибтиҳоҷ,هوشنگ ابتهاج
Амирулмуъминин,امیرالمؤمنین
Амиралумаро,امیرالامرا
Амирхон,عامر خان
Амният,امنیت
Омун,آمون
Амон Верма,امان ورما
Иморат,امارت
Аморати Афғонистон,امارت افغانستان
Аморати Бухоро,امارت بخارا
Афғонистон,افغانستان
Амориҳо,عموری‌ها
Ампер,آمپر
Жан-Жак Ампер,ژان-ژاک آمپر
Ампер-соат,آمپر ساعت
Андре-Мари Ампер,آندره-ماری آمپر
Амрита Арора,آمریتا ارورا
Амрита Рао,آمریتا رایو
Амриш Пурӣ,آمریش پوری
Амстердам,آمستردام
Амстердам (Ню-Йорк),آمستردام، نیویورک
Амурск,آمورسک
Амфиболит,آمفیبولیت
Амфитеатр,آمفی‌تئاتر
Амшоспандон,امشاسپندان
Амъақи Бухороӣ,عمعق بخاری
Амёбиаз,آمیبیاز
Амҷад Хон,امجد خان
Амӯрн,امورن
Набаъ,نبأ
Ана Брнабич,آنا برنابیچ
Ана Гастейер,آنا گستایر
Ана Мена,آنا منا
Анайлcон Брито Нолето,آنایلسون بریتو نولیتو
Анайтс Арбила,انایتس اربیلا
Ананас,آناناس
Анапа,آناپا
Анапу,آناپو
